,Latitude,Longitude
0,43.8066863,-79.1943534
1,43.78453510000001,-79.1604971
2,43.7635726,-79.1887115
3,43.7709921,-79.2169174
4,43.773136,-79.23947609999999
5,43.7447342,-79.23947609999999
6,43.7279292,-79.2620294
7,43.7111117,-79.2845772
8,43.716316,-79.23947609999999
9,43.692657,-79.2648481
10,43.7574096,-79.273304
11,43.7500715,-79.2958491
12,43.7942003,-79.2620294
13,43.7816375,-79.3043021
14,43.8152522,-79.2845772
15,43.7995252,-79.3183887
16,43.8361247,-79.20563609999999
17,43.8037622,-79.3634517
18,43.7785175,-79.3465557
19,43.7869473,-79.385975
20,43.7574902,-79.37471409999999
21,43.789053,-79.40849279999999
22,43.7701199,-79.40849279999999
23,43.7527583,-79.40004929999999
24,43.7827364,-79.4422593
25,43.7532586,-79.3296565
26,43.7459058,-79.352188
27,43.7258997,-79.34092299999999
28,43.7543283,-79.4422593
29,43.7679803,-79.4872619
30,43.7374732,-79.4647633
31,43.7390146,-79.5069436
32,43.7284964,-79.4956974
33,43.7616313,-79.5209994
34,43.72588229999999,-79.3155716
35,43.7063972,-79.30993699999999
36,43.6953439,-79.3183887
37,43.6763574,-79.2930312
38,43.7090604,-79.3634517
39,43.7053689,-79.3493719
40,43.685347,-79.3381065
41,43.6795571,-79.352188
42,43.6689985,-79.3155716
43,43.6595255,-79.34092299999999
44,43.7280205,-79.3887901
45,43.7127511,-79.3901975
46,43.7153834,-79.4056784
47,43.7043244,-79.3887901
48,43.6895743,-79.3831599
49,43.6864123,-79.40004929999999
50,43.6795626,-79.3775294
51,43.667967,-79.3676753
52,43.6658599,-79.3831599
53,43.6542599,-79.36063589999999
54,43.6571618,-79.3789371
55,43.6514939,-79.3754179
56,43.6447708,-79.37330639999999
57,43.6579524,-79.3873826
58,43.65057119999999,-79.3845675
59,43.6408157,-79.3817523
60,43.6471768,-79.3815764
61,43.6481985,-79.3798169
62,43.7332825,-79.4197497
63,43.7116948,-79.4169356
64,43.6969476,-79.4113072
65,43.6727097,-79.4056784
66,43.6626956,-79.40004929999999
67,43.6532057,-79.40004929999999
68,43.6289467,-79.3944199
69,43.6464352,-79.37484599999999
70,43.6484292,-79.3822802
71,43.718518,-79.4647633
72,43.709577,-79.4450726
73,43.6937813,-79.4281914
74,43.68902560000001,-79.453512
75,43.669542,-79.4225637
76,43.6690051,-79.4422593
77,43.6479267,-79.4197497
78,43.6368472,-79.4281914
79,43.7137562,-79.49007379999999
80,43.6911158,-79.47601329999999
81,43.6731853,-79.4872619
82,43.6616083,-79.4647633
83,43.6489597,-79.45632499999999
84,43.6515706,-79.4844499
85,43.6623015,-79.3894938
86,43.6369656,-79.615819
87,43.6627439,-79.321558
88,43.6056466,-79.5013207
89,43.6024137,-79.5434841
90,43.6536536,-79.5069436
91,43.6362579,-79.49850909999999
92,43.6288408,-79.5209994
93,43.6678556,-79.5322424
94,43.65094320000001,-79.5547244
95,43.6435152,-79.5772008
96,43.7563033,-79.56596329999999
97,43.7247659,-79.5322424
98,43.706876,-79.5181884
99,43.696319,-79.5322424
100,43.6889054,-79.5547244
101,43.7394164,-79.58843689999999
102,43.7067483,-79.59405439999999
